Webframe,Count
React,8223
Node.js,8096
Next.js,4458
ASP.NET CORE,4166
Vue.js,3903
Angular,3309
Express,3216
FastAPI,2823
Spring Boot,2674
Svelte,2559
Django,2541
jQuery,2264
Htmx,2103
Flask,2053
ASP.NET,1847
NestJS,1764
Laravel,1735
Blazor,1665
WordPress,1345
Ruby on Rails,1250
Astro,1147
Nuxt.js,1145
Deno,1040
Phoenix,907
AngularJS,794
Solid.js,787
Remix,727
Fastify,683
Symfony,636
Strapi,404
Gatsby,255
Elm,248
Drupal,208
CodeIgniter,183
Play Framework,136
Yii 2,123
