Platform,Count
Amazon Web Services (AWS),10516
Microsoft Azure,6380
Google Cloud,5431
Cloudflare,4219
Digital Ocean,2908
Vercel,2776
Firebase,2720
Hetzner,1577
Supabase,1368
Netlify,1267
Fly.io,1018
Heroku,1012
VMware,868
"Linode, now Akamai",821
Managed Hosting,709
OVH,631
OpenShift,585
Databricks,546
Oracle Cloud Infrastructure (OCI),540
Render,529
OpenStack,417
Vultr,367
PythonAnywhere,350
IBM Cloud Or Watson,247
Alibaba Cloud,237
Scaleway,195
Colocation,176
