Platform,Count
Amazon Web Services (AWS),10871
Microsoft Azure,6681
Google Cloud,5537
Cloudflare,3874
Digital Ocean,3170
Firebase,3025
Vercel,2875
Heroku,2002
Netlify,1662
Hetzner,1392
VMware,1341
Supabase,1009
Managed Hosting,817
"Linode, now Akamai",816
OVH,779
Fly.io,759
Render,633
OpenShift,574
Oracle Cloud Infrastructure (OCI),571
Vultr,437
Databricks,388
PythonAnywhere,346
OpenStack,308
IBM Cloud Or Watson,226
Scaleway,216
Alibaba Cloud,206
Colocation,140
